CustomerID,Recency,Frequency,Avg_Monthly_Spend,Tenure,AOV,Velocity_Recent,Velocity_Drift,Return_Count,Cluster,Segment_Label,Target_Label,FutureSales_Label
12346.0,236,1,9811.474576271188,236,2032.978099999999,0.0,-0.1271186440677966,1.0,0,Average,1,0.0
12347.0,40,5,302.2592057761733,277,558.172,0.3333333333333333,-0.20818291215403134,0.0,0,Average,1,1519.14
12348.0,159,3,166.4820895522388,268,495.74666666666667,0.0,-0.33582089552238803,0.0,0,Average,1,310.0
12350.0,220,1,45.60000000000001,220,334.40000000000003,0.0,-0.13636363636363638,0.0,2,At-Risk,0,0.0
12352.0,172,5,226.34927536231888,207,312.3620000000001,0.0,-0.7246376811594203,10.0,0,Average,1,944.23
12353.0,114,1,23.42105263157895,114,89.0,0.0,-0.2631578947368421,0.0,2,At-Risk,0,0.0
12354.0,142,1,228.04225352112672,142,1079.3999999999999,0.0,-0.2112676056338028,0.0,0,Average,1,0.0
12355.0,124,1,111.14516129032256,124,459.4,0.0,-0.24193548387096772,0.0,2,At-Risk,0,0.0
12356.0,156,2,349.9677966101695,236,1376.54,0.0,-0.2542372881355932,0.0,0,Average,1,58.349999999999994
12358.0,61,1,238.45573770491802,61,484.85999999999996,0.3333333333333333,-0.15846994535519132,0.0,0,Average,1,683.2
12359.0,100,3,433.35495867768594,242,1165.2433333333333,0.0,-0.37190082644628103,6.0,0,Average,1,2876.85
12360.0,23,2,437.372972972973,111,809.1400000000001,0.3333333333333333,-0.20720720720720714,0.0,0,Average,1,1043.78
12361.0,197,1,28.918781725888323,197,189.89999999999998,0.0,-0.15228426395939088,0.0,2,At-Risk,0,0.0
12362.0,30,4,254.46844660194174,206,436.8375,0.6666666666666666,0.08414239482200636,8.0,0,Average,1,3478.88
12363.0,20,2,108.94736842105263,152,276.0,0.3333333333333333,-0.06140350877192985,0.0,0,Average,1,0.0
12364.0,22,1,623.92,22,623.92,0.3333333333333333,-0.6666666666666667,0.0,0,Average,1,689.18
12365.0,201,2,95.7283582089552,201,320.68999999999994,0.0,-0.29850746268656714,1.0,2,At-Risk,0,0.0
12370.0,185,3,311.8233333333333,270,935.4699999999999,0.0,-0.3333333333333333,0.0,0,Average,1,739.28
12372.0,123,2,132.59710144927533,207,457.4599999999999,0.0,-0.2898550724637681,0.0,0,Average,1,383.12
12373.0,221,1,49.49321266968327,221,364.6,0.0,-0.13574660633484165,0.0,2,At-Risk,0,0.0
12375.0,8,1,230.3,8,230.3,0.3333333333333333,-0.6666666666666667,1.0,0,Average,1,227.20000000000002
12377.0,225,2,184.31547169811319,265,814.06,0.0,-0.22641509433962262,0.0,2,At-Risk,0,0.0
12378.0,40,1,3006.465,40,2032.978099999999,0.3333333333333333,-0.4166666666666667,0.0,0,Average,1,0.0
12379.0,80,1,172.44,80,459.84,0.3333333333333333,-0.041666666666666685,1.0,0,Average,1,392.40000000000003
12380.0,96,1,189.85937499999997,96,607.55,0.0,-0.3125,1.0,0,Average,1,2117.26
12381.0,30,1,1268.74,30,1268.74,0.3333333333333333,-0.6666666666666667,4.0,0,Average,1,576.57
12383.0,95,5,211.8961832061069,262,370.112,0.0,-0.5725190839694657,1.0,0,Average,1,0.0
12384.0,32,1,274.396875,32,292.69,0.3333333333333333,-0.6041666666666667,3.0,0,Average,1,292.58
12386.0,248,2,43.52707581227437,277,200.95,0.0,-0.21660649819494587,0.0,2,At-Risk,0,0.0
12388.0,58,4,211.18227848101267,237,417.08500000000004,0.3333333333333333,-0.17299578059071724,0.0,0,Average,1,1112.3200000000002
12393.0,156,3,131.00000000000003,243,353.70000000000005,0.0,-0.3703703703703704,0.0,0,Average,1,521.5
12394.0,127,1,90.01889763779528,127,381.08,0.0,-0.23622047244094488,0.0,2,At-Risk,0,891.4
12395.0,22,8,202.80106761565838,281,237.44625000000002,0.6666666666666666,-0.18742586002372474,3.0,1,High Value,2,1119.06
12397.0,45,1,809.8733333333331,45,1214.8099999999997,0.3333333333333333,-0.3333333333333333,0.0,0,Average,1,1195.09
12399.0,29,4,193.36918604651163,172,277.1625,0.3333333333333333,-0.36434108527131787,0.0,0,Average,1,0.0
12401.0,213,1,11.873239436619718,213,84.3,0.0,-0.14084507042253522,0.0,2,At-Risk,0,0.0
12402.0,233,1,29.047210300429185,233,225.6,0.0,-0.12875536480686695,0.0,2,At-Risk,0,0.0
12405.0,59,1,869.6898305084748,59,1710.3900000000003,0.3333333333333333,-0.1751412429378531,0.0,0,Average,1,0.0
12406.0,94,1,517.4202127659574,94,1621.25,0.0,-0.3191489361702128,3.0,0,Average,1,1794.05
12407.0,44,4,242.64827586206894,174,351.84,0.6666666666666666,-0.02298850574712652,0.0,0,Average,1,300.76
12408.0,9,4,376.5970588235293,170,533.5124999999999,0.6666666666666666,-0.039215686274509776,8.0,1,High Value,2,754.5
12409.0,93,1,2002.283870967742,93,2032.978099999999,0.0,-0.3225806451612903,5.0,0,Average,1,4865.59
12410.0,219,2,94.97671232876712,219,346.66499999999996,0.0,-0.273972602739726,2.0,2,At-Risk,0,0.0
12412.0,48,2,338.2556962025316,79,445.36999999999995,0.6666666666666666,-0.09282700421940937,0.0,0,Average,1,336.14
12413.0,146,2,68.48987854251013,247,281.95,0.0,-0.24291497975708504,2.0,2,At-Risk,0,194.20000000000002
12414.0,127,3,76.69227272727272,220,187.47,0.0,-0.4090909090909091,0.0,2,At-Risk,0,0.0
12415.0,9,15,12349.340322580645,248,2032.978099999999,2.6666666666666665,0.8521505376344087,62.0,1,High Value,2,22826.649999999998
12417.0,17,7,315.2820895522388,268,402.36,0.6666666666666666,-0.1169154228855721,6.0,1,High Value,2,832.58
12418.0,23,1,668.58,23,668.58,0.3333333333333333,-0.6666666666666667,0.0,0,Average,1,0.0
12421.0,25,3,82.34410480349344,229,209.51999999999998,0.6666666666666666,0.27365356622998543,1.0,0,Average,1,178.48
12422.0,6,3,102.58212765957445,235,267.8533333333333,0.6666666666666666,0.2836879432624113,0.0,0,Average,1,0.0
12423.0,11,7,187.57613636363635,264,235.81,0.3333333333333333,-0.4621212121212121,1.0,1,High Value,2,208.64000000000001
12424.0,73,2,723.6821917808218,73,880.4799999999998,0.6666666666666666,-0.15525114155251152,0.0,0,Average,1,0.0
12426.0,105,1,166.49428571428572,105,582.73,0.0,-0.2857142857142857,0.0,0,Average,1,0.0
12427.0,282,1,32.28723404255319,282,303.5,0.0,-0.10638297872340426,4.0,2,At-Risk,0,522.3
12428.0,30,8,1167.2350515463918,194,943.5150000000001,0.6666666666666666,-0.5704467353951891,6.0,1,High Value,2,408.34000000000003
12429.0,83,3,309.2260869565218,276,948.2933333333334,0.3333333333333333,0.00724637681159418,0.0,0,Average,1,905.52
12431.0,29,11,514.9193661971831,284,443.14272727272726,1.3333333333333333,0.17136150234741776,4.0,1,High Value,2,1612.88
12432.0,80,3,1469.509756097561,82,1338.8866666666668,1.0,-0.09756097560975618,0.0,0,Average,1,1042.66
12433.0,1,3,677.9395759717314,283,2032.978099999999,0.3333333333333333,0.01531213191990577,0.0,1,High Value,2,6980.64
12434.0,170,1,50.51470588235294,170,286.25,0.0,-0.1764705882352941,4.0,2,At-Risk,0,519.89
12435.0,178,1,670.6162921348315,178,2032.978099999999,0.0,-0.16853932584269662,0.0,0,Average,1,3850.9
12436.0,10,1,509.01000000000005,10,509.01000000000005,0.3333333333333333,-0.6666666666666667,0.0,0,Average,1,0.0
12437.0,8,11,349.96804979253113,241,255.58272727272725,1.0,-0.36929460580912865,1.0,1,High Value,2,2140.0
12438.0,50,1,534.0419999999999,50,890.0699999999999,0.3333333333333333,-0.26666666666666666,0.0,0,Average,1,2016.78
